turn,destination_cards,black_cards,white_cards,total_cards,points,action
0,Washington->Kansas,0,2,2,0,draw t
1,Washington->Kansas,0,0,0,2,claim
2,Washington->Kansas,2,0,2,2,draw t
3,Washington->Kansas,0,0,0,4,claim
4,Washington->Kansas,0,2,2,4,draw t
5,Washington->Kansas,1,3,4,4,draw t
6,Washington->Kansas,1,0,1,8,claim
7,Washington->Kansas,1,2,3,8,draw t
8,Washington->Kansas,2,3,5,8,draw t
9,Washington->Kansas,2,0,2,12,claim
10,Washington->Kansas,4,0,4,12,draw t
11,Washington->Kansas,6,0,6,12,draw t
12,Washington->Kansas,1,0,1,22,claim
13,Washington->Kansas,1,2,3,22,draw t
14,Washington->Kansas,1,4,5,22,draw t
turn,destination_cards,black_cards,white_cards,total_cards,points,action
0,New York->Colorado,2,0,2,0,draw t
1,New York->Colorado,2,2,4,0,draw t
2,New York->Colorado,2,0,2,2,claim
3,New York->Colorado,4,0,4,2,draw t
4,New York->Colorado,1,0,1,6,claim
5,New York->Colorado,1,2,3,6,draw t
turn,destination_cards,black_cards,white_cards,total_cards,points,action
0,Washington->Kansas,0,0,2,0,draw t
1,Washington->Kansas,0,0,0,2,claim
2,Washington->Kansas,0,2,2,2,draw t
3,Washington->Kansas,0,0,0,4,claim
4,Washington->Kansas,2,0,2,4,draw t
5,Washington->Kansas,3,0,4,4,draw t
6,Washington->Kansas,0,0,1,8,claim
7,Washington->Kansas,0,0,3,8,draw t
8,Washington->Kansas,0,0,0,12,claim
9,Washington->Kansas,2,0,2,12,draw t
10,Washington->Kansas,3,1,4,12,draw t
11,Washington->Kansas,0,1,1,16,claim
12,Washington->Kansas,0,3,3,16,draw t
13,Washington->Kansas,0,5,5,16,draw t
turn,destination_cards,black_cards,white_cards,total_cards,points,action
0,Montana->Texas,2,0,2,0,draw t
1,Montana->Texas,0,0,0,2,claim
2,Montana->Texas,2,0,2,2,draw t
3,Montana->Texas,0,0,0,4,claim
4,Montana->Texas,0,2,2,4,draw t
5,Montana->Texas,0,4,4,4,draw t
6,Montana->Texas,0,1,1,8,claim
7,Montana->Texas,0,3,3,8,draw t
8,Montana->Texas,0,0,0,12,claim
9,Montana->Texas,2,0,2,12,draw t
10,Montana->Texas,4,0,4,12,draw t
11,Montana->Texas,1,0,1,16,claim
12,Montana->Texas,3,0,3,16,draw t
13,Montana->Texas,5,0,5,16,draw t
turn,destination_cards,black_cards,white_cards,total_cards,points,action
turn,destination_cards,black_cards,white_cards,total_cards,points,action
turn,destination_cards,black_cards,white_cards,total_cards,points,action
turn,destination_cards,black_cards,white_cards,total_cards,points,action
0,Montana->Colorado,2,0,2,0,draw t
1,Montana->Colorado,0,0,0,2,claim
2,Montana->Colorado,2,0,2,2,draw t
3,Montana->Colorado,0,0,0,4,claim
4,Montana->Colorado,0,2,2,4,draw t
5,Montana->Colorado,0,4,4,4,draw t
